=============================
Job ID:       599228
Array Task:   12
Node:         evc20
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=3/i=3 --discrete
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6882 reward_min=-1.0248 reward_max=-0.4450
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6882 reward_min=-1.0253 reward_max=-0.4447
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8141 reward_min=-1.4635 reward_max=-0.3405
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7348 reward_global_std=0.1680
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6682 reward_min=-0.9811 reward_max=-0.2852
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6682 reward_min=-0.9803 reward_max=-0.2854
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6682 reward_min=-0.9793 reward_max=-0.2845
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7961 reward_min=-1.3182 reward_max=1.1531
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7163 reward_global_std=0.2032
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6880 reward_min=-1.1239 reward_max=-0.4628
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6879 reward_min=-1.1243 reward_max=-0.4634
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6878 reward_min=-1.1244 reward_max=-0.4628
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8128 reward_min=-1.3750 reward_max=-0.3524
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7326 reward_global_std=0.1596
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6669 reward_min=-1.1015 reward_max=-0.3148
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6670 reward_min=-1.0999 reward_max=-0.3154
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6670 reward_min=-1.0976 reward_max=-0.3163
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8251 reward_min=-1.4532 reward_max=-0.3817
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7318 reward_global_std=0.1752
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6733 reward_min=-1.1153 reward_max=-0.3880
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6732 reward_min=-1.1156 reward_max=-0.3863
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6730 reward_min=-1.1172 reward_max=-0.3843
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7775 reward_min=-1.4318 reward_max=-0.3584
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7068 reward_global_std=0.1626
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6640 reward_min=-1.0543 reward_max=-0.3355
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6640 reward_min=-1.0538 reward_max=-0.3353
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6639 reward_min=-1.0527 reward_max=-0.3357
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7899 reward_min=-1.3168 reward_max=-0.4098
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7095 reward_global_std=0.1682
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6884 reward_min=-1.1172 reward_max=-0.3820
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6884 reward_min=-1.1157 reward_max=-0.3817
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6883 reward_min=-1.1140 reward_max=-0.3814
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8095 reward_min=-1.4515 reward_max=-0.3852
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7346 reward_global_std=0.1785
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6627 reward_min=-1.0002 reward_max=-0.2804
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6625 reward_min=-1.0013 reward_max=-0.2795
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6625 reward_min=-1.0028 reward_max=-0.2792
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8131 reward_min=-1.4220 reward_max=-0.4184
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7214 reward_global_std=0.1767
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6791 reward_min=-1.0373 reward_max=-0.4405
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6790 reward_min=-1.0382 reward_max=-0.4415
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6789 reward_min=-1.0403 reward_max=-0.4425
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7978 reward_min=-1.4339 reward_max=-0.3422
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7215 reward_global_std=0.1726
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6720 reward_min=-1.0020 reward_max=-0.3379
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6720 reward_min=-1.0018 reward_max=-0.3383
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6719 reward_min=-1.0009 reward_max=-0.3376
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7859 reward_min=-1.4598 reward_max=-0.3389
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7113 reward_global_std=0.1718
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6686 reward_min=-1.0105 reward_max=-0.3351
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6686 reward_min=-1.0112 reward_max=-0.3349
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6685 reward_min=-1.0119 reward_max=-0.3341
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8147 reward_min=-1.3513 reward_max=-0.3522
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7260 reward_global_std=0.1681
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6761 reward_min=-1.0931 reward_max=-0.2625
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6758 reward_min=-1.0940 reward_max=-0.2629
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6758 reward_min=-1.0952 reward_max=-0.2634
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8007 reward_min=-1.4346 reward_max=-0.3721
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7216 reward_global_std=0.1756
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6844 reward_min=-1.0570 reward_max=-0.4175
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6843 reward_min=-1.0572 reward_max=-0.4161
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6842 reward_min=-1.0579 reward_max=-0.4149
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8025 reward_min=-1.3709 reward_max=-0.3622
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7265 reward_global_std=0.1746
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6842 reward_min=-1.0138 reward_max=-0.3986
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6841 reward_min=-1.0139 reward_max=-0.3986
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6840 reward_min=-1.0135 reward_max=-0.3992
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8100 reward_min=-1.2931 reward_max=-0.3844
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7301 reward_global_std=0.1669
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6689 reward_min=-0.9828 reward_max=-0.3954
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6689 reward_min=-0.9818 reward_max=-0.3951
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6689 reward_min=-0.9809 reward_max=-0.3951
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8262 reward_min=-1.3959 reward_max=-0.3197
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7279 reward_global_std=0.1701
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6838 reward_min=-1.0561 reward_max=-0.3922
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6838 reward_min=-1.0564 reward_max=-0.3918
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6835 reward_min=-1.0566 reward_max=-0.3920
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8155 reward_min=-1.5378 reward_max=-0.3907
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7267 reward_global_std=0.1725
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6765 reward_min=-1.0787 reward_max=-0.3704
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6765 reward_min=-1.0800 reward_max=-0.3702
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6765 reward_min=-1.0824 reward_max=-0.3698
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8418 reward_min=-1.4897 reward_max=-0.3420
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7402 reward_global_std=0.1953
[HetNet] iter=20/1500 steps=5120/384000 | pi_s=0.0001 pi_i=-0.0001 v=180.8307 ent_s=1.582 ent_i=1.588 ret=-58.711 ev_s_post=0.002 ev_i_post=0.005 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6819 reward_min=-1.0309 reward_max=-0.2761
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6819 reward_min=-1.0318 reward_max=-0.2756
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6819 reward_min=-1.0329 reward_max=-0.2751
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8282 reward_min=-1.4286 reward_max=-0.3392
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7336 reward_global_std=0.1878
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6761 reward_min=-1.0015 reward_max=-0.3759
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6761 reward_min=-1.0019 reward_max=-0.3760
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6758 reward_min=-1.0027 reward_max=-0.3759
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8235 reward_min=-1.3871 reward_max=-0.3022
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7310 reward_global_std=0.1821
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6678 reward_min=-0.9784 reward_max=-0.3718
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6683 reward_min=-1.0105 reward_max=-0.3722
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6678 reward_min=-0.9761 reward_max=-0.3721
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7800 reward_min=-1.3866 reward_max=-0.3790
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7050 reward_global_std=0.1727
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6759 reward_min=-0.9727 reward_max=-0.4326
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6761 reward_min=-0.9737 reward_max=-0.4324
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6760 reward_min=-0.9748 reward_max=-0.4314
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7721 reward_min=-1.3335 reward_max=-0.3090
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7033 reward_global_std=0.1714
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6625 reward_min=-1.0009 reward_max=-0.3686
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6625 reward_min=-1.0008 reward_max=-0.3681
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6624 reward_min=-1.0005 reward_max=-0.3679
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7978 reward_min=-1.3567 reward_max=-0.3556
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7108 reward_global_std=0.1643
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6880 reward_min=-1.0005 reward_max=-0.3889
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6880 reward_min=-1.0006 reward_max=-0.3884
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6879 reward_min=-1.0002 reward_max=-0.3878
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7974 reward_min=-1.3544 reward_max=-0.3527
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7270 reward_global_std=0.1794
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6795 reward_min=-1.0163 reward_max=-0.4018
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6795 reward_min=-1.0171 reward_max=-0.4015
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6796 reward_min=-1.0177 reward_max=-0.4006
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8084 reward_min=-1.3553 reward_max=-0.3810
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7319 reward_global_std=0.1691
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6666 reward_min=-1.0574 reward_max=-0.4021
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6665 reward_min=-1.0562 reward_max=-0.4025
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6665 reward_min=-1.0551 reward_max=-0.4025
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7901 reward_min=-1.3262 reward_max=-0.3190
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7110 reward_global_std=0.1630
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6909 reward_min=-1.0135 reward_max=-0.3064
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6909 reward_min=-1.0133 reward_max=-0.3056
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6909 reward_min=-1.0129 reward_max=-0.3049
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8096 reward_min=-1.2745 reward_max=-0.3993
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7351 reward_global_std=0.1640
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6773 reward_min=-1.0593 reward_max=-0.3935
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6771 reward_min=-1.0578 reward_max=-0.3937
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6770 reward_min=-1.0559 reward_max=-0.3941
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7886 reward_min=-1.2961 reward_max=-0.3789
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7170 reward_global_std=0.1610
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6754 reward_min=-0.9620 reward_max=-0.4501
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6754 reward_min=-0.9617 reward_max=-0.4510
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6753 reward_min=-0.9616 reward_max=-0.4511
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7838 reward_min=-1.2831 reward_max=-0.3310
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7155 reward_global_std=0.1665
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6881 reward_min=-0.9403 reward_max=-0.3417
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6881 reward_min=-0.9404 reward_max=-0.3417
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6881 reward_min=-0.9408 reward_max=-0.3411
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7780 reward_min=-1.2799 reward_max=-0.3888
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7194 reward_global_std=0.1720
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6862 reward_min=-1.0287 reward_max=-0.3092
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6861 reward_min=-1.0282 reward_max=-0.3091
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6859 reward_min=-1.0275 reward_max=-0.3092
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7836 reward_min=-1.3925 reward_max=-0.3752
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7197 reward_global_std=0.1619
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6730 reward_min=-1.0254 reward_max=-0.3997
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6729 reward_min=-1.0248 reward_max=-0.3991
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6731 reward_min=-1.0240 reward_max=-0.3986
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7741 reward_min=-1.3018 reward_max=-0.3926
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7077 reward_global_std=0.1700
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6776 reward_min=-1.0591 reward_max=-0.3843
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6776 reward_min=-1.0598 reward_max=-0.3842
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6776 reward_min=-1.0612 reward_max=-0.3841
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7653 reward_min=-1.3952 reward_max=-0.3294
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7092 reward_global_std=0.1709
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6842 reward_min=-1.0128 reward_max=-0.4558
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6841 reward_min=-1.0127 reward_max=-0.4556
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6841 reward_min=-1.0120 reward_max=-0.4555
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7595 reward_min=-1.3836 reward_max=-0.3650
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7080 reward_global_std=0.1603
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6733 reward_min=-1.0134 reward_max=-0.3077
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6732 reward_min=-1.0144 reward_max=-0.3078
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6730 reward_min=-1.0156 reward_max=-0.3080
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7792 reward_min=-1.3493 reward_max=-0.3522
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7117 reward_global_std=0.1632
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6827 reward_min=-1.0030 reward_max=-0.3297
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6827 reward_min=-1.0029 reward_max=-0.3298
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6826 reward_min=-1.0032 reward_max=-0.3294
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7850 reward_min=-1.3051 reward_max=-0.3138
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7197 reward_global_std=0.1617
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6784 reward_min=-1.0837 reward_max=-0.3297
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6784 reward_min=-1.0841 reward_max=-0.3310
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6784 reward_min=-1.0852 reward_max=-0.3324
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7752 reward_min=-1.4018 reward_max=-0.4084
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7135 reward_global_std=0.1668
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6729 reward_min=-0.9719 reward_max=-0.3835
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6728 reward_min=-0.9717 reward_max=-0.3826
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6729 reward_min=-0.9711 reward_max=-0.3820
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7793 reward_min=-1.2608 reward_max=-0.4164
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7116 reward_global_std=0.1548
[HetNet] iter=40/1500 steps=10240/384000 | pi_s=0.0001 pi_i=-0.0002 v=125.3226 ent_s=1.573 ent_i=1.596 ret=-56.594 ev_s_post=-0.022 ev_i_post=-0.021 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6716 reward_min=-1.0342 reward_max=-0.3459
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6716 reward_min=-1.0343 reward_max=-0.3457
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6714 reward_min=-1.0355 reward_max=-0.3452
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7760 reward_min=-1.4042 reward_max=-0.3833
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7074 reward_global_std=0.1668
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6665 reward_min=-0.9744 reward_max=-0.4323
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6664 reward_min=-0.9756 reward_max=-0.4319
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6664 reward_min=-0.9771 reward_max=-0.4319
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7991 reward_min=-1.3894 reward_max=-0.3620
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7155 reward_global_std=0.1664
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6784 reward_min=-0.9697 reward_max=-0.4351
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6782 reward_min=-0.9709 reward_max=-0.4352
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6782 reward_min=-0.9722 reward_max=-0.4349
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8197 reward_min=-1.4021 reward_max=-0.4085
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7363 reward_global_std=0.1709
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6801 reward_min=-0.9923 reward_max=-0.3015
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6801 reward_min=-0.9910 reward_max=-0.3022
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6800 reward_min=-0.9894 reward_max=-0.3036
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8010 reward_min=-1.3939 reward_max=-0.3481
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7257 reward_global_std=0.1683
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6837 reward_min=-1.0477 reward_max=-0.3554
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6835 reward_min=-1.0472 reward_max=-0.3552
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6833 reward_min=-1.0467 reward_max=-0.3547
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7761 reward_min=-1.3417 reward_max=-0.3867
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7131 reward_global_std=0.1717
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6770 reward_min=-1.0119 reward_max=-0.3927
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6770 reward_min=-1.0115 reward_max=-0.3928
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6770 reward_min=-1.0108 reward_max=-0.3934
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7815 reward_min=-1.3879 reward_max=-0.3470
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7145 reward_global_std=0.1686
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6769 reward_min=-1.0674 reward_max=-0.2962
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6769 reward_min=-1.0661 reward_max=-0.2970
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6770 reward_min=-1.0642 reward_max=-0.2976
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7807 reward_min=-1.3612 reward_max=-0.3342
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7154 reward_global_std=0.1634
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6750 reward_min=-0.9859 reward_max=-0.4058
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6749 reward_min=-0.9861 reward_max=-0.4058
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6748 reward_min=-0.9868 reward_max=-0.4057
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7696 reward_min=-1.2819 reward_max=-0.3529
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7060 reward_global_std=0.1639
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6806 reward_min=-0.9906 reward_max=-0.4164
