[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 50/70: graph seed0 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph/seed0  Start: Sat Jun 27 17:14:44 EDT 2026
Sat Jun 27 17:14:44 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   30C    P0             36W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=0 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-96.117 eval_ret=-48.651 pursuer_target_distance=6.586 capture=0.000 cap=0.000 td_loss=1.0853 q_tot=+12.465 tgt=+12.475 gnorm=86.82 w_min=0.00e+00 eps=0.621 buf=20000 upd=469 seed=0
step=  360000 ep_ret=-29.537 eval_ret=-16.903 pursuer_target_distance=2.946 capture=0.002 cap=0.026 td_loss=0.7778 q_tot=+5.470 tgt=+5.475 gnorm=87.57 w_min=1.40e-08 eps=0.050 buf=100000 upd=11094 seed=0
step=  380000 ep_ret=-32.169 eval_ret=-29.728 pursuer_target_distance=2.952 capture=0.008 cap=0.026 td_loss=0.9050 q_tot=+5.534 tgt=+5.531 gnorm=97.20 w_min=0.00e+00 eps=0.050 buf=100000 upd=11719 seed=0
step=  400000 ep_ret=-24.993 eval_ret=-22.435 pursuer_target_distance=2.863 capture=0.002 cap=0.027 td_loss=1.0764 q_tot=+5.394 tgt=+5.390 gnorm=112.13 w_min=2.05e-08 eps=0.050 buf=100000 upd=12344 seed=0
step=  420000 ep_ret=-42.789 eval_ret=-30.870 pursuer_target_distance=3.141 capture=0.007 cap=0.057 td_loss=1.1994 q_tot=+5.230 tgt=+5.240 gnorm=125.52 w_min=7.45e-09 eps=0.050 buf=100000 upd=12969 seed=0
step=  440000 ep_ret=-47.678 eval_ret=-21.958 pursuer_target_distance=3.123 capture=0.001 cap=0.031 td_loss=1.2754 q_tot=+5.619 tgt=+5.619 gnorm=134.22 w_min=9.31e-09 eps=0.050 buf=100000 upd=13594 seed=0
step=  460000 ep_ret=-26.842 eval_ret=-28.654 pursuer_target_distance=2.712 capture=0.003 cap=0.016 td_loss=1.3084 q_tot=+6.182 tgt=+6.174 gnorm=146.22 w_min=1.04e-07 eps=0.050 buf=100000 upd=14219 seed=0
step=  480000 ep_ret=-32.027 eval_ret=-19.403 pursuer_target_distance=2.823 capture=0.005 cap=0.036 td_loss=1.1688 q_tot=+7.122 tgt=+7.122 gnorm=133.36 w_min=7.45e-09 eps=0.050 buf=100000 upd=14844 seed=0
step=  500000 ep_ret=-28.297 eval_ret=-27.991 pursuer_target_distance=3.113 capture=0.002 cap=0.026 td_loss=1.1742 q_tot=+7.340 tgt=+7.332 gnorm=131.23 w_min=3.35e-08 eps=0.050 buf=100000 upd=15469 seed=0
step=  520000 ep_ret=-31.975 eval_ret=-26.107 pursuer_target_distance=3.270 capture=0.007 cap=0.047 td_loss=1.1729 q_tot=+6.972 tgt=+6.974 gnorm=130.35 w_min=1.49e-08 eps=0.050 buf=100000 upd=16094 seed=0
step=  540000 ep_ret=-33.031 eval_ret=-46.258 pursuer_target_distance=2.894 capture=0.001 cap=0.026 td_loss=1.1551 q_tot=+7.195 tgt=+7.192 gnorm=123.85 w_min=1.49e-08 eps=0.050 buf=100000 upd=16719 seed=0
step=  560000 ep_ret=-31.544 eval_ret=-18.789 pursuer_target_distance=2.905 capture=0.002 cap=0.009 td_loss=1.1788 q_tot=+7.555 tgt=+7.555 gnorm=125.30 w_min=2.61e-08 eps=0.050 buf=100000 upd=17344 seed=0
step=  580000 ep_ret=-35.520 eval_ret=-22.291 pursuer_target_distance=3.259 capture=0.006 cap=0.042 td_loss=1.2732 q_tot=+7.611 tgt=+7.611 gnorm=135.05 w_min=7.64e-08 eps=0.050 buf=100000 upd=17969 seed=0
step=  600000 ep_ret=-36.683 eval_ret=-28.500 pursuer_target_distance=2.955 capture=0.010 cap=0.057 td_loss=1.3665 q_tot=+7.990 tgt=+7.991 gnorm=143.75 w_min=5.96e-08 eps=0.050 buf=100000 upd=18594 seed=0
step=  620000 ep_ret=-29.074 eval_ret=-19.313 pursuer_target_distance=3.039 capture=0.004 cap=0.026 td_loss=1.2876 q_tot=+9.580 tgt=+9.581 gnorm=140.57 w_min=2.98e-08 eps=0.050 buf=100000 upd=19219 seed=0
step=  640000 ep_ret=-36.857 eval_ret=-25.157 pursuer_target_distance=3.034 capture=0.007 cap=0.036 td_loss=1.3423 q_tot=+9.628 tgt=+9.626 gnorm=147.27 w_min=3.35e-08 eps=0.050 buf=100000 upd=19844 seed=0
step=  660000 ep_ret=-25.973 eval_ret=-30.263 pursuer_target_distance=3.177 capture=0.004 cap=0.036 td_loss=1.7613 q_tot=+10.259 tgt=+10.261 gnorm=180.69 w_min=2.61e-08 eps=0.050 buf=100000 upd=20469 seed=0
step=  680000 ep_ret=-26.022 eval_ret=-20.122 pursuer_target_distance=3.352 capture=0.003 cap=0.026 td_loss=1.8099 q_tot=+9.883 tgt=+9.881 gnorm=184.18 w_min=1.19e-07 eps=0.050 buf=100000 upd=21094 seed=0
step=  700000 ep_ret=-8.199 eval_ret=-28.925 pursuer_target_distance=3.134 capture=0.008 cap=0.031 td_loss=1.9159 q_tot=+9.394 tgt=+9.395 gnorm=189.96 w_min=5.59e-09 eps=0.050 buf=100000 upd=21719 seed=0
step=  720000 ep_ret=-41.251 eval_ret=-21.440 pursuer_target_distance=3.269 capture=0.003 cap=0.022 td_loss=1.7425 q_tot=+8.643 tgt=+8.642 gnorm=179.39 w_min=1.57e-07 eps=0.050 buf=100000 upd=22344 seed=0
step=  740000 ep_ret=-27.933 eval_ret=-23.535 pursuer_target_distance=2.964 capture=0.007 cap=0.052 td_loss=1.5753 q_tot=+9.401 tgt=+9.401 gnorm=167.33 w_min=1.49e-08 eps=0.050 buf=100000 upd=22969 seed=0
step=  760000 ep_ret=-42.623 eval_ret=-30.139 pursuer_target_distance=3.006 capture=0.007 cap=0.036 td_loss=1.7259 q_tot=+9.537 tgt=+9.537 gnorm=175.82 w_min=1.77e-08 eps=0.050 buf=100000 upd=23594 seed=0
step=  780000 ep_ret=-23.568 eval_ret=-20.745 pursuer_target_distance=2.980 capture=0.007 cap=0.036 td_loss=1.7014 q_tot=+10.397 tgt=+10.395 gnorm=178.40 w_min=8.94e-08 eps=0.050 buf=100000 upd=24219 seed=0
step=  800000 ep_ret=-28.333 eval_ret=-22.397 pursuer_target_distance=3.093 capture=0.005 cap=0.027 td_loss=1.7321 q_tot=+10.956 tgt=+10.954 gnorm=185.21 w_min=1.49e-08 eps=0.050 buf=100000 upd=24844 seed=0
step=  820000 ep_ret=-27.062 eval_ret=-25.796 pursuer_target_distance=3.122 capture=0.007 cap=0.031 td_loss=1.8008 q_tot=+10.799 tgt=+10.801 gnorm=184.83 w_min=0.00e+00 eps=0.050 buf=100000 upd=25469 seed=0
step=  840000 ep_ret=-25.594 eval_ret=-18.170 pursuer_target_distance=3.247 capture=0.012 cap=0.073 td_loss=1.8489 q_tot=+11.702 tgt=+11.701 gnorm=179.86 w_min=3.73e-09 eps=0.050 buf=100000 upd=26094 seed=0
step=  860000 ep_ret=-31.898 eval_ret=-26.275 pursuer_target_distance=3.101 capture=0.008 cap=0.052 td_loss=1.8768 q_tot=+11.842 tgt=+11.848 gnorm=187.78 w_min=1.49e-08 eps=0.050 buf=100000 upd=26719 seed=0
step=  880000 ep_ret=-24.241 eval_ret=-17.406 pursuer_target_distance=3.370 capture=0.004 cap=0.049 td_loss=2.0483 q_tot=+11.795 tgt=+11.797 gnorm=199.93 w_min=2.24e-08 eps=0.050 buf=100000 upd=27344 seed=0
step=  900000 ep_ret=-45.682 eval_ret=-35.286 pursuer_target_distance=3.401 capture=0.006 cap=0.042 td_loss=2.2034 q_tot=+12.186 tgt=+12.186 gnorm=206.00 w_min=2.98e-08 eps=0.050 buf=100000 upd=27969 seed=0
step=  920000 ep_ret=-31.270 eval_ret=-32.480 pursuer_target_distance=3.315 capture=0.007 cap=0.047 td_loss=2.2704 q_tot=+12.899 tgt=+12.900 gnorm=210.47 w_min=2.98e-08 eps=0.050 buf=100000 upd=28594 seed=0
step=  940000 ep_ret=-36.602 eval_ret=-17.971 pursuer_target_distance=3.106 capture=0.008 cap=0.062 td_loss=2.3127 q_tot=+13.273 tgt=+13.276 gnorm=214.62 w_min=8.20e-08 eps=0.050 buf=100000 upd=29219 seed=0
step=  960000 ep_ret=-31.293 eval_ret=-28.296 pursuer_target_distance=3.221 capture=0.005 cap=0.058 td_loss=2.2607 q_tot=+13.324 tgt=+13.326 gnorm=214.90 w_min=3.73e-08 eps=0.050 buf=100000 upd=29844 seed=0
step=  980000 ep_ret=-35.411 eval_ret=-52.282 pursuer_target_distance=3.378 capture=0.006 cap=0.042 td_loss=2.5503 q_tot=+13.889 tgt=+13.881 gnorm=245.78 w_min=0.00e+00 eps=0.050 buf=100000 upd=30469 seed=0
step= 1000000 ep_ret=-36.999 eval_ret=-30.639 pursuer_target_distance=3.090 capture=0.005 cap=0.047 td_loss=2.5625 q_tot=+14.116 tgt=+14.112 gnorm=250.01 w_min=4.47e-08 eps=0.050 buf=100000 upd=31094 seed=0
step= 1020000 ep_ret=-18.325 eval_ret=-27.221 pursuer_target_distance=3.014 capture=0.013 cap=0.115 td_loss=2.5312 q_tot=+14.612 tgt=+14.611 gnorm=243.06 w_min=2.98e-08 eps=0.050 buf=100000 upd=31719 seed=0
step= 1040000 ep_ret=-12.415 eval_ret=-45.207 pursuer_target_distance=2.849 capture=0.009 cap=0.067 td_loss=2.6893 q_tot=+15.423 tgt=+15.421 gnorm=251.67 w_min=3.73e-09 eps=0.050 buf=100000 upd=32344 seed=0
step= 1060000 ep_ret=-35.049 eval_ret=-31.420 pursuer_target_distance=3.299 capture=0.013 cap=0.109 td_loss=2.9789 q_tot=+16.368 tgt=+16.367 gnorm=276.23 w_min=7.45e-09 eps=0.050 buf=100000 upd=32969 seed=0
step= 1080000 ep_ret=-19.201 eval_ret=-49.549 pursuer_target_distance=3.221 capture=0.009 cap=0.078 td_loss=3.0918 q_tot=+16.233 tgt=+16.230 gnorm=266.19 w_min=2.24e-08 eps=0.050 buf=100000 upd=33594 seed=0
step= 1100000 ep_ret=-39.950 eval_ret=-31.105 pursuer_target_distance=3.111 capture=0.015 cap=0.073 td_loss=3.6998 q_tot=+17.049 tgt=+17.054 gnorm=304.27 w_min=1.49e-08 eps=0.050 buf=100000 upd=34219 seed=0
step= 1120000 ep_ret=-8.320 eval_ret=-57.152 pursuer_target_distance=3.133 capture=0.018 cap=0.129 td_loss=3.5796 q_tot=+17.841 tgt=+17.849 gnorm=303.01 w_min=7.45e-09 eps=0.050 buf=100000 upd=34844 seed=0
step= 1140000 ep_ret=-17.245 eval_ret=-52.517 pursuer_target_distance=3.357 capture=0.013 cap=0.115 td_loss=3.8854 q_tot=+19.220 tgt=+19.219 gnorm=333.26 w_min=4.47e-08 eps=0.050 buf=100000 upd=35469 seed=0
step= 1160000 ep_ret=-23.424 eval_ret=-20.361 pursuer_target_distance=3.502 capture=0.014 cap=0.104 td_loss=3.8823 q_tot=+21.088 tgt=+21.082 gnorm=346.10 w_min=3.35e-08 eps=0.050 buf=100000 upd=36094 seed=0
step= 1180000 ep_ret=-22.347 eval_ret=-28.744 pursuer_target_distance=3.231 capture=0.014 cap=0.099 td_loss=4.2344 q_tot=+23.012 tgt=+23.017 gnorm=371.40 w_min=2.98e-08 eps=0.050 buf=100000 upd=36719 seed=0
step= 1200000 ep_ret=-17.209 eval_ret=-32.531 pursuer_target_distance=3.139 capture=0.020 cap=0.143 td_loss=4.6548 q_tot=+25.104 tgt=+25.112 gnorm=410.17 w_min=1.49e-08 eps=0.050 buf=100000 upd=37344 seed=0
step= 1220000 ep_ret=-9.421 eval_ret=-43.056 pursuer_target_distance=3.042 capture=0.023 cap=0.141 td_loss=4.7136 q_tot=+27.664 tgt=+27.658 gnorm=419.75 w_min=1.49e-07 eps=0.050 buf=100000 upd=37969 seed=0
step= 1240000 ep_ret=-29.525 eval_ret=-32.269 pursuer_target_distance=3.087 capture=0.021 cap=0.135 td_loss=5.5984 q_tot=+30.980 tgt=+30.993 gnorm=494.81 w_min=2.24e-08 eps=0.050 buf=100000 upd=38594 seed=0
step= 1260000 ep_ret=-16.372 eval_ret=-50.028 pursuer_target_distance=2.925 capture=0.019 cap=0.156 td_loss=5.4845 q_tot=+33.730 tgt=+33.731 gnorm=478.84 w_min=4.10e-08 eps=0.050 buf=100000 upd=39219 seed=0
step= 1280000 ep_ret=-20.970 eval_ret=-45.470 pursuer_target_distance=3.344 capture=0.015 cap=0.116 td_loss=6.0080 q_tot=+35.549 tgt=+35.558 gnorm=514.67 w_min=7.45e-08 eps=0.050 buf=100000 upd=39844 seed=0
step= 1300000 ep_ret=-10.767 eval_ret=+5.461 pursuer_target_distance=3.098 capture=0.029 cap=0.219 td_loss=6.1690 q_tot=+35.727 tgt=+35.731 gnorm=540.11 w_min=1.49e-08 eps=0.050 buf=100000 upd=40469 seed=0
step= 1320000 ep_ret=-10.386 eval_ret=-40.148 pursuer_target_distance=3.257 capture=0.017 cap=0.141 td_loss=6.5141 q_tot=+37.600 tgt=+37.602 gnorm=573.16 w_min=2.98e-08 eps=0.050 buf=100000 upd=41094 seed=0
step= 1340000 ep_ret=+6.948 eval_ret=-28.928 pursuer_target_distance=3.138 capture=0.025 cap=0.219 td_loss=6.5041 q_tot=+39.678 tgt=+39.680 gnorm=596.02 w_min=0.00e+00 eps=0.050 buf=100000 upd=41719 seed=0
step= 1360000 ep_ret=-20.846 eval_ret=-51.954 pursuer_target_distance=3.142 capture=0.027 cap=0.192 td_loss=6.4462 q_tot=+41.604 tgt=+41.599 gnorm=605.38 w_min=4.47e-08 eps=0.050 buf=100000 upd=42344 seed=0
step= 1380000 ep_ret=-0.990 eval_ret=-41.855 pursuer_target_distance=3.225 capture=0.024 cap=0.177 td_loss=7.3118 q_tot=+44.334 tgt=+44.336 gnorm=683.30 w_min=8.94e-08 eps=0.050 buf=100000 upd=42969 seed=0
step= 1400000 ep_ret=-10.341 eval_ret=-19.029 pursuer_target_distance=2.941 capture=0.028 cap=0.208 td_loss=7.4882 q_tot=+48.531 tgt=+48.531 gnorm=727.11 w_min=8.20e-08 eps=0.050 buf=100000 upd=43594 seed=0
step= 1420000 ep_ret=-21.168 eval_ret=-26.879 pursuer_target_distance=3.319 capture=0.023 cap=0.193 td_loss=8.1397 q_tot=+49.523 tgt=+49.522 gnorm=764.47 w_min=4.47e-08 eps=0.050 buf=100000 upd=44219 seed=0
step= 1440000 ep_ret=-4.084 eval_ret=+112.141 pursuer_target_distance=3.032 capture=0.033 cap=0.214 td_loss=8.1415 q_tot=+51.750 tgt=+51.756 gnorm=774.92 w_min=4.47e-08 eps=0.050 buf=100000 upd=44844 seed=0
step= 1460000 ep_ret=-10.993 eval_ret=+1.219 pursuer_target_distance=3.287 capture=0.023 cap=0.219 td_loss=8.8993 q_tot=+52.998 tgt=+53.012 gnorm=848.51 w_min=3.54e-08 eps=0.050 buf=100000 upd=45469 seed=0
step= 1480000 ep_ret=+2.343 eval_ret=-38.297 pursuer_target_distance=2.883 capture=0.038 cap=0.307 td_loss=9.1931 q_tot=+55.846 tgt=+55.848 gnorm=879.42 w_min=0.00e+00 eps=0.050 buf=100000 upd=46094 seed=0
step= 1500000 ep_ret=-2.049 eval_ret=-29.617 pursuer_target_distance=3.019 capture=0.033 cap=0.245 td_loss=10.0369 q_tot=+55.138 tgt=+55.157 gnorm=923.90 w_min=5.96e-08 eps=0.050 buf=100000 upd=46719 seed=0
step= 1520000 ep_ret=-19.790 eval_ret=-45.546 pursuer_target_distance=3.221 capture=0.024 cap=0.205 td_loss=10.9071 q_tot=+56.351 tgt=+56.361 gnorm=1031.68 w_min=3.09e-07 eps=0.050 buf=100000 upd=47344 seed=0
step= 1540000 ep_ret=-34.109 eval_ret=-35.543 pursuer_target_distance=3.299 capture=0.019 cap=0.146 td_loss=11.5880 q_tot=+57.621 tgt=+57.646 gnorm=1097.93 w_min=1.64e-07 eps=0.050 buf=100000 upd=47969 seed=0
step= 1560000 ep_ret=-33.992 eval_ret=-41.468 pursuer_target_distance=3.022 capture=0.027 cap=0.203 td_loss=10.9175 q_tot=+60.593 tgt=+60.597 gnorm=1046.26 w_min=1.49e-08 eps=0.050 buf=100000 upd=48594 seed=0
step= 1580000 ep_ret=-15.323 eval_ret=-34.789 pursuer_target_distance=3.055 capture=0.030 cap=0.240 td_loss=11.0027 q_tot=+60.375 tgt=+60.375 gnorm=1056.05 w_min=1.49e-08 eps=0.050 buf=100000 upd=49219 seed=0
step= 1600000 ep_ret=-29.216 eval_ret=-29.309 pursuer_target_distance=2.820 capture=0.036 cap=0.268 td_loss=11.5965 q_tot=+61.904 tgt=+61.912 gnorm=1156.12 w_min=5.03e-08 eps=0.050 buf=100000 upd=49844 seed=0
step= 1620000 ep_ret=+19.124 eval_ret=-30.771 pursuer_target_distance=3.176 capture=0.030 cap=0.224 td_loss=11.4476 q_tot=+65.998 tgt=+65.997 gnorm=1097.99 w_min=1.64e-07 eps=0.050 buf=100000 upd=50469 seed=0
step= 1640000 ep_ret=+3.742 eval_ret=-48.856 pursuer_target_distance=3.050 capture=0.038 cap=0.245 td_loss=11.2704 q_tot=+69.629 tgt=+69.624 gnorm=1137.68 w_min=2.98e-07 eps=0.050 buf=100000 upd=51094 seed=0
step= 1660000 ep_ret=-8.065 eval_ret=-32.459 pursuer_target_distance=2.890 capture=0.030 cap=0.292 td_loss=12.4004 q_tot=+73.523 tgt=+73.524 gnorm=1279.29 w_min=5.96e-08 eps=0.050 buf=100000 upd=51719 seed=0
step= 1680000 ep_ret=-21.690 eval_ret=-25.254 pursuer_target_distance=3.047 capture=0.032 cap=0.201 td_loss=12.7775 q_tot=+74.458 tgt=+74.480 gnorm=1239.02 w_min=0.00e+00 eps=0.050 buf=100000 upd=52344 seed=0
step= 1700000 ep_ret=-11.358 eval_ret=-30.350 pursuer_target_distance=3.244 capture=0.021 cap=0.214 td_loss=12.9009 q_tot=+76.845 tgt=+76.859 gnorm=1227.86 w_min=2.58e-07 eps=0.050 buf=100000 upd=52969 seed=0
step= 1720000 ep_ret=-18.580 eval_ret=-29.483 pursuer_target_distance=3.350 capture=0.029 cap=0.240 td_loss=13.8192 q_tot=+77.761 tgt=+77.762 gnorm=1393.12 w_min=0.00e+00 eps=0.050 buf=100000 upd=53594 seed=0
step= 1740000 ep_ret=-21.175 eval_ret=-29.480 pursuer_target_distance=3.004 capture=0.021 cap=0.182 td_loss=14.4404 q_tot=+78.607 tgt=+78.611 gnorm=1491.05 w_min=2.98e-08 eps=0.050 buf=100000 upd=54219 seed=0
step= 1760000 ep_ret=-11.254 eval_ret=-23.863 pursuer_target_distance=2.898 capture=0.033 cap=0.232 td_loss=13.1570 q_tot=+84.438 tgt=+84.436 gnorm=1340.72 w_min=4.47e-08 eps=0.050 buf=100000 upd=54844 seed=0
step= 1780000 ep_ret=-12.799 eval_ret=-31.973 pursuer_target_distance=3.017 capture=0.029 cap=0.292 td_loss=12.6033 q_tot=+88.531 tgt=+88.546 gnorm=1436.09 w_min=1.49e-08 eps=0.050 buf=100000 upd=55469 seed=0
step= 1800000 ep_ret=-5.745 eval_ret=-18.801 pursuer_target_distance=3.085 capture=0.022 cap=0.208 td_loss=13.2177 q_tot=+91.603 tgt=+91.627 gnorm=1471.68 w_min=2.98e-08 eps=0.050 buf=100000 upd=56094 seed=0
step= 1820000 ep_ret=-15.880 eval_ret=-24.981 pursuer_target_distance=2.818 capture=0.025 cap=0.198 td_loss=13.4215 q_tot=+97.083 tgt=+97.091 gnorm=1456.69 w_min=1.49e-08 eps=0.050 buf=100000 upd=56719 seed=0
step= 1840000 ep_ret=-14.138 eval_ret=-26.201 pursuer_target_distance=2.968 capture=0.030 cap=0.219 td_loss=13.2432 q_tot=+98.903 tgt=+98.919 gnorm=1436.34 w_min=5.96e-08 eps=0.050 buf=100000 upd=57344 seed=0
step= 1860000 ep_ret=+4.064 eval_ret=-23.451 pursuer_target_distance=3.193 capture=0.038 cap=0.240 td_loss=13.3246 q_tot=+99.933 tgt=+99.949 gnorm=1487.08 w_min=1.49e-08 eps=0.050 buf=100000 upd=57969 seed=0
step= 1880000 ep_ret=-19.665 eval_ret=-57.435 pursuer_target_distance=3.012 capture=0.030 cap=0.234 td_loss=12.6393 q_tot=+98.844 tgt=+98.853 gnorm=1364.61 w_min=1.19e-07 eps=0.050 buf=100000 upd=58594 seed=0
step= 1900000 ep_ret=-5.772 eval_ret=-27.783 pursuer_target_distance=2.997 capture=0.033 cap=0.260 td_loss=12.4972 q_tot=+100.063 tgt=+100.064 gnorm=1376.54 w_min=7.45e-08 eps=0.050 buf=100000 upd=59219 seed=0
step= 1920000 ep_ret=-15.950 eval_ret=-33.201 pursuer_target_distance=3.198 capture=0.031 cap=0.228 td_loss=12.7622 q_tot=+102.767 tgt=+102.778 gnorm=1422.82 w_min=5.96e-08 eps=0.050 buf=100000 upd=59844 seed=0
